state;total_hospital_beds;total_icu_beds;hospital_bed_occupancy_rate;icu_bed_occupancy_rate;available_hospital_beds;potentially_available_hospital_beds;available_icu_beds;potentially_available_icu_beds;adult_population;population_65;projected_infected_individuals;projected_hospitalized_individuals;projected_individuals_needing_icu_care;hospital_beds_needed_six_months;percentage_of_available_beds_needed_six_months;percentage_of_potentially_available_beds_needed_six_months;percentage_of_total_beds_needed_six_months;hospital_beds_needed_twelve_months;percentage_of_available_beds_needed_twelve_months;percentage_of_potentially_available_beds_needed_twelve_months;percentage_of_total_beds_needed_twelve_months;hospital_beds_needed_eighteen_months;percentage_of_available_beds_needed_eighteen_months;percentage_of_potentially_available_beds_needed_eighteen_months;percentage_of_total_beds_needed_eighteen_months;icu_beds_needed_six_months;percentage_of_available_icu_beds_needed_six_months;percentage_of_potentially_available_icu_beds_needed_six_months;percentage_of_total_icu_beds_needed_six_months;icu_beds_needed_twelve_months;percentage_of_available_icu_beds_needed_twelve_months;percentage_of_potentially_available_icu_beds_needed_twelve_months;percentage_of_total_icu_beds_needed_twelve_months;icu_beds_needed_eighteen_months;percentage_of_available_icu_beds_needed_eighteen_months;percentage_of_potentially_available_icu_beds_needed_eighteen_months;percentage_of_total_icu_beds_needed_eighteen_months
TN;18401;2309;63;74;6723;12562;603;1456;5099734;1013356;3059840;639131;137897;42609;634;339;232;21304;317;17;116;13894;207;111;76;9193;1525;631;398;4597;762;316;199;2998;497;206;13
TX;55588;7149;61;64;21803;38695;2573;4861;20206495;3215906;12123897;2486847;524743;165790;76;428;298;82895;38;214;149;54062;248;14;97;34983;136;72;489;17491;68;36;245;11407;443;235;16
UT;4869;687;57;52;2116;3493;328;507;2082530;307095;1249518;254913;53422;16994;803;487;349;8497;402;243;175;5542;262;159;114;3561;1086;702;518;1781;543;351;259;1161;354;229;169
VA;17469;2007;69;65;5373;11421;698;1353;6499678;1187867;3899807;808672;172945;53911;1003;472;309;26956;502;236;154;17580;327;154;101;11530;1652;852;574;5765;826;426;287;3760;539;278;187
VT;1305;94;64;45;475;890;52;73;504856;109551;302914;63798;13901;4253;895;478;326;2127;448;239;163;1387;292;156;106;927;1783;127;986;463;89;634;493;302;581;414;321
WA;11808;1493;65;65;4123;7966;525;1009;5554591;1029040;3332755;691879;148174;46125;1119;579;391;23063;559;29;195;15041;365;189;127;9878;1882;979;662;4939;941;489;331;3221;614;319;216
WI;11669;1506;58;55;4850;8260;676;1091;4469267;896724;2681560;560610;121083;37374;771;452;32;18687;385;226;16;12187;251;148;104;8072;1194;74;536;4036;597;37;268;2632;389;241;175
WV;6224;643;6;65;2466;4345;223;433;1459974;336326;875984;185608;40729;12374;502;285;199;6187;251;142;99;4035;164;93;65;2715;1217;627;422;1358;609;314;211;885;397;204;138
WY;1951;102;52;36;931;1441;65;84;444842;84239;266905;55514;11916;3701;398;257;19;1850;199;128;95;1207;13;84;62;794;1222;945;778;397;611;473;389;259;398;308;254
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
*Based on a 50% reduction in occupancy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
